Random;16114545.0;40;[[15, 289, 243, 214], [21, 144, 111, 78]]
Random;16115415.0;40;[[199, 121, 354, 34], [26, 304, 91, 165], [41, 124, 67, 104]]
Random;16118385.0;40;[[79, 294, 223, 134]]
Random;16118490.0;40;[[182, 222, 326, 62]]
Random;16118730.0;40;[[188, 183, 332, 23]]
Random;16118910.0;40;[[31, 221, 208, 105], [278, 219, 335, 175]]
Random;16119255.0;40;[[130, 112, 205, 54], [37, 269, 126, 59]]
Random;16120200.0;40;[[164, 239, 258, 21], [36, 221, 64, 130]]
Random;16122075.0;40;[[116, 132, 308, 19], [233, 197, 289, 173]]
Random;16123365.0;40;[[152, 305, 296, 145]]
Random;16123575.0;40;[[64, 293, 144, 5]]
Random;16123665.0;40;[[194, 310, 354, 166]]
Random;16124070.0;40;[[19, 244, 58, 116], [229, 314, 325, 126]]
Random;16126290.0;40;[[45, 279, 285, 183]]
Random;16129245.0;40;[[248, 241, 328, 16], [177, 233, 240, 153]]
Random;16129530.0;40;[[33, 87, 115, 28], [225, 309, 244, 302], [81, 311, 213, 244], [172, 182, 247, 59]]
Random;16129680.0;40;[[130, 119, 220, 26], [154, 278, 313, 222], [64, 179, 116, 74], [272, 189, 290, 172]]
Random;16130325.0;40;[[256, 277, 358, 96], [5, 111, 114, 69]]
Random;16130610.0;40;[[100, 316, 356, 226]]
Random;16130640.0;40;[[176, 312, 266, 56]]
Random;16130925.0;40;[[79, 222, 199, 30]]
Random;16131105.0;40;[[35, 157, 95, 70], [221, 178, 356, 46]]
Random;16131120.0;40;[[154, 227, 307, 146], [183, 146, 312, 103], [178, 292, 278, 241]]
Random;16131555.0;40;[[125, 229, 305, 101]]
Random;16132410.0;40;[[205, 69, 247, 1], [195, 286, 325, 196], [22, 292, 106, 191]]
Random;16132515.0;40;[[270, 165, 351, 48], [72, 256, 209, 157]]
Random;16133535.0;40;[[242, 281, 336, 36], [167, 42, 169, 37]]
Random;16133805.0;40;[[32, 285, 132, 177], [162, 194, 247, 50]]
Random;16134150.0;40;[[53, 121, 293, 25]]
Random;16134330.0;40;[[87, 78, 313, 8], [244, 281, 320, 186]]
Random;16134495.0;40;[[23, 259, 74, 206], [93, 148, 281, 72], [180, 222, 296, 183], [71, 70, 132, 45]]
Random;16135065.0;40;[[12, 120, 268, 30]]
Random;16135365.0;40;[[160, 217, 340, 89]]
Random;16135410.0;40;[[4, 270, 124, 78]]
Random;16137315.0;40;[[152, 228, 312, 84]]
Random;16137915.0;40;[[71, 298, 327, 208]]
Random;16138365.0;40;[[126, 115, 261, 80], [184, 302, 295, 137]]
Random;16140075.0;40;[[121, 290, 241, 98]]
Random;16141035.0;40;[[186, 296, 330, 136]]
Random;16141740.0;40;[[250, 308, 330, 30], [200, 286, 232, 261]]
Random;16141965.0;40;[[131, 132, 248, 53], [263, 308, 326, 89]]
Random;16142895.0;40;[[176, 176, 320, 16]]
Random;16143195.0;40;[[37, 175, 181, 15]]
Random;16143465.0;40;[[51, 208, 69, 196], [140, 158, 323, 42], [266, 204, 323, 176]]
Random;16143495.0;40;[[7, 288, 113, 88], [210, 283, 233, 203]]
Random;16144005.0;40;[[79, 168, 214, 56], [21, 254, 153, 194]]
Random;16144290.0;40;[[60, 226, 188, 46]]
Random;16144740.0;40;[[149, 301, 309, 157]]
Random;16144770.0;40;[[225, 270, 300, 163], [153, 296, 218, 65]]
Random;16145055.0;40;[[64, 302, 304, 206]]
Random;16146270.0;40;[[164, 293, 254, 37]]
Random;16146960.0;40;[[297, 245, 348, 135], [230, 169, 287, 59], [127, 198, 220, 78]]
Random;16147200.0;40;[[35, 222, 155, 30]]
Random;16147440.0;40;[[179, 313, 259, 25]]
Random;16149780.0;40;[[26, 291, 232, 193], [84, 188, 146, 142]]
Random;16149870.0;40;[[164, 143, 228, 72], [208, 205, 325, 154], [159, 70, 346, 3]]
Random;16150065.0;40;[[83, 160, 234, 25], [137, 218, 196, 173]]
Random;16151040.0;40;[[245, 229, 347, 117], [68, 234, 189, 138]]
Random;16151415.0;40;[[199, 245, 327, 65]]
Random;16151415.0;40;[[100, 137, 127, 53], [238, 255, 319, 54], [263, 313, 302, 281], [19, 147, 66, 78]]
Random;16152555.0;40;[[80, 270, 272, 150]]
Random;16152930.0;40;[[35, 155, 215, 27]]
Random;16153035.0;40;[[159, 277, 319, 133]]
Random;16153785.0;40;[[159, 253, 255, 13]]
Random;16155780.0;40;[[29, 286, 317, 206]]
Random;16156050.0;40;[[80, 139, 272, 19]]
Random;16156905.0;40;[[185, 291, 329, 131]]
Random;16157880.0;40;[[14, 318, 113, 122], [272, 156, 308, 55]]
Random;16158360.0;40;[[3, 87, 47, 33], [162, 194, 285, 26]]
Random;16158660.0;40;[[255, 287, 340, 109], [262, 99, 271, 68], [8, 161, 82, 140], [185, 168, 244, 65]]
Random;16158690.0;40;[[21, 143, 57, 22], [229, 266, 341, 121], [153, 173, 208, 153], [62, 310, 86, 254]]
Random;16159815.0;40;[[66, 98, 354, 18]]
Random;16160625.0;40;[[48, 287, 197, 184], [262, 179, 311, 22]]
Random;16161120.0;40;[[146, 276, 266, 84]]
Random;16161135.0;40;[[167, 281, 327, 137]]
Random;16161210.0;40;[[36, 260, 140, 175], [264, 252, 335, 52]]
Random;16161225.0;40;[[191, 314, 335, 154]]
Random;16162125.0;40;[[22, 246, 55, 178], [64, 301, 257, 220], [1, 145, 112, 107], [208, 48, 253, 27]]
Random;16162410.0;40;[[61, 304, 346, 228], [112, 93, 142, 47]]
Random;16163310.0;40;[[84, 275, 228, 115]]
Random;16163880.0;40;[[172, 149, 200, 134], [46, 238, 306, 151]]
Random;16164390.0;40;[[96, 191, 276, 63]]
Random;16165890.0;40;[[31, 199, 223, 79]]
Random;16168080.0;40;[[41, 295, 233, 175]]
Random;16168200.0;40;[[81, 244, 321, 148]]
Random;16168410.0;40;[[128, 277, 272, 117]]
Random;16168440.0;40;[[7, 112, 263, 22]]
Random;16168485.0;40;[[256, 105, 344, 33], [23, 282, 197, 186]]
Random;16168785.0;40;[[200, 315, 320, 123]]
Random;16168920.0;40;[[185, 282, 345, 138]]
Random;16169100.0;40;[[67, 270, 211, 110]]
Random;16169445.0;40;[[78, 217, 270, 97]]
Random;16169550.0;40;[[7, 33, 29, 21], [119, 248, 275, 102]]
Random;16169835.0;40;[[96, 293, 244, 193], [4, 134, 107, 54]]
Random;16170180.0;40;[[26, 238, 154, 58]]
Random;16170315.0;40;[[254, 41, 311, 11], [173, 204, 308, 46]]
Random;16170630.0;40;[[100, 307, 260, 163]]
Random;16170855.0;40;[[238, 185, 336, 95], [25, 162, 205, 83]]
Random;16171650.0;40;[[221, 225, 341, 33]]
Random;16172160.0;40;[[117, 273, 277, 129]]
Random;16172280.0;40;[[92, 143, 206, 99], [169, 289, 220, 273], [53, 270, 215, 170], [237, 120, 261, 78]]
Random;16173330.0;40;[[82, 303, 146, 121], [23, 96, 201, 32]]
Random;16174230.0;40;[[226, 280, 316, 24]]
Random;16174470.0;40;[[111, 296, 204, 72], [306, 228, 338, 159]]
Random;16174650.0;40;[[209, 252, 258, 128], [19, 213, 119, 127], [92, 85, 194, 3]]
Random;16175310.0;40;[[249, 318, 360, 126], [135, 139, 207, 115]]
Random;16175505.0;40;[[94, 86, 355, 20], [216, 223, 330, 172]]
Random;16176075.0;40;[[93, 314, 237, 154]]
Random;16176555.0;40;[[109, 159, 203, 29], [124, 298, 146, 260], [217, 295, 313, 191]]
Random;16176660.0;40;[[35, 46, 44, 30], [151, 207, 295, 89], [316, 207, 357, 63]]
Random;16176705.0;40;[[96, 287, 216, 95]]
Random;16177350.0;40;[[154, 125, 170, 93], [19, 253, 195, 125]]
Random;16177395.0;40;[[30, 277, 120, 21]]
Random;16177485.0;40;[[197, 277, 341, 117]]
Random;16177485.0;40;[[135, 186, 265, 127], [291, 254, 349, 67], [189, 295, 267, 237]]
Random;16177800.0;40;[[132, 243, 336, 165], [233, 115, 332, 43]]
Random;16178490.0;40;[[150, 310, 342, 190]]
Random;16178565.0;40;[[20, 306, 164, 146]]
Random;16179630.0;40;[[302, 134, 316, 101], [14, 320, 141, 203], [27, 116, 153, 57], [208, 308, 227, 293]]
Random;16179930.0;40;[[220, 298, 340, 106]]
Random;16181640.0;40;[[262, 320, 323, 178], [234, 169, 325, 11]]
Random;16182570.0;40;[[149, 125, 341, 5]]
Random;16182690.0;40;[[191, 310, 271, 22]]
Random;16182765.0;40;[[182, 277, 277, 85], [20, 305, 100, 245]]
Random;16183350.0;40;[[158, 303, 318, 159]]
Random;16184760.0;40;[[34, 271, 127, 223], [201, 202, 225, 166], [70, 148, 193, 4]]
Random;16185300.0;40;[[234, 277, 330, 37]]
Random;16185465.0;40;[[11, 218, 47, 150], [108, 285, 232, 216], [262, 265, 330, 88]]
Random;16186710.0;40;[[225, 286, 315, 30]]
Random;16187220.0;40;[[53, 142, 233, 14]]
Random;16188570.0;40;[[179, 297, 262, 177], [60, 140, 169, 20]]
Random;16188840.0;40;[[110, 279, 230, 87]]
Random;16189395.0;40;[[159, 304, 249, 48]]
Random;16189440.0;40;[[37, 320, 91, 188], [75, 188, 228, 84]]
Random;16189590.0;40;[[32, 251, 192, 107]]
Random;16190400.0;40;[[205, 214, 333, 34]]
Random;16190475.0;40;[[24, 253, 249, 181], [94, 169, 208, 109]]
Random;16191615.0;40;[[17, 302, 273, 212]]
Random;16191780.0;40;[[51, 272, 243, 152]]
Random;16192470.0;40;[[28, 151, 278, 67], [145, 26, 230, 2]]
Random;16192950.0;40;[[123, 249, 164, 230], [127, 195, 324, 82]]
Random;16193175.0;40;[[143, 100, 254, 25], [44, 267, 101, 184], [202, 309, 358, 245]]
Random;16193415.0;40;[[25, 249, 217, 129]]
Random;16194195.0;40;[[117, 300, 213, 268], [38, 102, 294, 24]]
Random;16194465.0;40;[[227, 292, 326, 232], [13, 145, 203, 55]]
Random;16194540.0;40;[[108, 296, 268, 152]]
Random;16195035.0;40;[[55, 258, 87, 150], [119, 300, 311, 198]]
Random;16195770.0;40;[[194, 262, 254, 200], [107, 126, 275, 11]]
Random;16196475.0;40;[[142, 200, 258, 68], [168, 302, 336, 256]]
Random;16196730.0;40;[[3, 166, 147, 6]]
Random;16196790.0;40;[[108, 298, 204, 58]]
Random;16196880.0;40;[[88, 279, 344, 189]]
Random;16197555.0;40;[[295, 200, 359, 5], [66, 94, 226, 28]]
Random;16197795.0;40;[[68, 272, 248, 144]]
Random;16198020.0;40;[[193, 282, 321, 102]]
Random;16198215.0;40;[[189, 218, 333, 58]]
Random;16198245.0;40;[[180, 302, 324, 142]]
Random;16198440.0;40;[[110, 307, 200, 51]]
Random;16199160.0;40;[[116, 256, 244, 76]]
Random;16199310.0;40;[[101, 291, 245, 131]]
Random;16199805.0;40;[[73, 286, 147, 236], [278, 293, 334, 257], [113, 187, 357, 116]]
Random;16199835.0;40;[[81, 317, 321, 221]]
Random;16200270.0;40;[[264, 231, 324, 193], [245, 137, 355, 23], [113, 154, 164, 4], [232, 191, 251, 161]]
Random;16200360.0;40;[[171, 216, 351, 88]]
Random;16200525.0;40;[[12, 218, 132, 26]]
Random;16200900.0;40;[[235, 312, 325, 72], [170, 63, 218, 33]]
Random;16200915.0;40;[[172, 291, 332, 147]]
Random;16201155.0;40;[[59, 256, 179, 64]]
Random;16201260.0;40;[[77, 310, 197, 118]]
Random;16201290.0;40;[[276, 171, 312, 139], [148, 287, 340, 173]]
Random;16201485.0;40;[[3, 50, 83, 17], [306, 88, 312, 72], [121, 283, 309, 175]]
Random;16201725.0;40;[[131, 190, 311, 62]]
Random;16201755.0;40;[[97, 184, 337, 88]]
Random;16202040.0;40;[[201, 270, 285, 23], [131, 207, 151, 130], [27, 294, 43, 247]]
Random;16202160.0;40;[[70, 243, 198, 63]]
Random;16202505.0;40;[[32, 318, 224, 198]]
Random;16202550.0;40;[[21, 273, 141, 81]]
Random;16203090.0;40;[[294, 236, 318, 178], [67, 208, 190, 32]]
Random;16203135.0;40;[[178, 210, 295, 54], [279, 265, 310, 233], [91, 107, 143, 34]]
Random;16203900.0;40;[[59, 320, 155, 80]]
Random;16204155.0;40;[[150, 150, 242, 10], [225, 305, 266, 223], [66, 228, 169, 162]]
Random;16204500.0;40;[[75, 151, 235, 7]]
Random;16204860.0;40;[[96, 314, 224, 134]]
Random;16206090.0;40;[[85, 120, 155, 36], [226, 259, 356, 127]]
Random;16206330.0;40;[[189, 266, 309, 74]]
Random;16206735.0;40;[[88, 290, 232, 130]]
Random;16207170.0;40;[[47, 257, 287, 161]]
Random;16207980.0;40;[[0, 317, 180, 189]]
Random;16208430.0;40;[[258, 286, 291, 271], [57, 169, 87, 128], [83, 265, 328, 178]]
Random;16209285.0;40;[[18, 265, 198, 137]]
Random;16210335.0;40;[[36, 315, 324, 235]]
Random;16210455.0;40;[[154, 314, 254, 261], [108, 265, 134, 219], [5, 268, 93, 80]]
Random;16210590.0;40;[[89, 47, 122, 11], [201, 233, 300, 15], [45, 46, 55, 19]]
Random;16210695.0;40;[[190, 267, 310, 75]]
Random;16211655.0;40;[[231, 267, 321, 11]]
Random;16212135.0;40;[[101, 291, 341, 195]]
Random;16212870.0;40;[[75, 296, 331, 206]]
Random;16213200.0;40;[[190, 218, 318, 38]]
Random;16213590.0;40;[[174, 192, 324, 41], [147, 173, 160, 143]]
Random;16213800.0;40;[[28, 291, 208, 163]]
Random;16214340.0;40;[[22, 181, 310, 101]]
Random;16214880.0;40;[[55, 281, 235, 153]]
Random;16214910.0;40;[[140, 98, 177, 47], [219, 165, 324, 62], [249, 287, 339, 190], [332, 154, 356, 87]]
Random;16215000.0;40;[[154, 271, 334, 143]]
Random;16215000.0;40;[[18, 290, 172, 222], [222, 82, 314, 7], [103, 134, 155, 25]]
Random;16215435.0;40;[[26, 141, 282, 51]]
Random;16215735.0;40;[[40, 152, 168, 29], [25, 306, 177, 258]]
Random;16216335.0;40;[[221, 301, 349, 121]]
Random;16216515.0;40;[[77, 238, 237, 94]]
Random;16217490.0;40;[[193, 254, 301, 48], [169, 319, 193, 286]]
Random;16218645.0;40;[[67, 276, 187, 84]]
Random;16218795.0;40;[[75, 257, 323, 169], [25, 305, 89, 286]]
Random;16219545.0;40;[[130, 214, 274, 54]]
Random;16220340.0;40;[[39, 150, 142, 6], [144, 131, 296, 77]]
Random;16220385.0;40;[[186, 130, 285, 16], [95, 269, 136, 205], [195, 313, 250, 147]]
Random;16220595.0;40;[[101, 149, 357, 59]]
Random;16221615.0;40;[[226, 241, 322, 1]]
Random;16221945.0;40;[[192, 91, 324, 3], [233, 280, 351, 212], [129, 201, 197, 151]]
Random;16221975.0;40;[[6, 168, 294, 88]]
Random;16223010.0;40;[[35, 284, 125, 28]]
Random;16223760.0;40;[[212, 256, 302, 0]]
Random;16224210.0;40;[[19, 291, 211, 171]]
Random;16224390.0;40;[[99, 273, 259, 129]]
Random;16224600.0;40;[[35, 87, 75, 39], [248, 235, 344, 15]]
Random;16225155.0;40;[[226, 278, 321, 149], [51, 252, 176, 213], [136, 88, 240, 52], [4, 114, 61, 76]]
Random;16225230.0;40;[[60, 217, 188, 37]]
Random;16225710.0;40;[[34, 112, 322, 32]]
Random;16226160.0;40;[[272, 298, 335, 178], [5, 307, 91, 127]]
Random;16226445.0;40;[[211, 311, 355, 151]]
Random;16226625.0;40;[[171, 172, 331, 28]]
Random;16226640.0;40;[[253, 317, 337, 104], [50, 181, 85, 77], [187, 45, 245, 19]]
Random;16226715.0;40;[[35, 186, 275, 90]]
Random;16226835.0;40;[[62, 313, 252, 209], [54, 112, 95, 32]]
Random;16227015.0;40;[[17, 282, 305, 202]]
Random;16227585.0;40;[[114, 270, 234, 78]]
Random;16228575.0;40;[[16, 265, 304, 185]]
Random;16228980.0;40;[[24, 283, 245, 187], [31, 160, 69, 112]]
Random;16229025.0;40;[[57, 307, 177, 115]]
Random;16229460.0;40;[[252, 280, 348, 40]]
Random;16229625.0;40;[[141, 307, 269, 127]]
Random;16229895.0;40;[[74, 287, 133, 150], [16, 297, 73, 117], [86, 118, 163, 57]]
Random;16230150.0;40;[[330, 171, 339, 159], [114, 281, 205, 29]]
Random;16231155.0;40;[[62, 269, 158, 29]]
Random;16231200.0;40;[[22, 293, 140, 241], [33, 50, 102, 15], [228, 238, 352, 122], [152, 260, 159, 245]]
Random;16231440.0;40;[[100, 158, 148, 61], [118, 285, 322, 227], [267, 211, 323, 94]]
Random;16232445.0;40;[[105, 161, 265, 17]]
Random;16232565.0;40;[[160, 309, 268, 106], [16, 271, 34, 209]]
Random;16233345.0;40;[[148, 207, 340, 87]]
Random;16233510.0;40;[[165, 186, 309, 34], [9, 203, 41, 167]]
Random;16233990.0;40;[[47, 256, 207, 112]]
Random;16234185.0;40;[[226, 241, 322, 43], [24, 211, 80, 139]]
Random;16234440.0;40;[[45, 251, 172, 71], [246, 254, 264, 244]]
Random;16234545.0;40;[[73, 203, 201, 23]]
Random;16235235.0;40;[[125, 287, 317, 167]]
Random;16235745.0;40;[[144, 186, 214, 138], [36, 136, 200, 16]]
Random;16235955.0;40;[[81, 283, 337, 193]]
Random;16236030.0;40;[[57, 154, 249, 34]]
Random;16236375.0;40;[[220, 295, 310, 39]]
Random;16236375.0;40;[[227, 258, 262, 207], [111, 199, 241, 53], [104, 295, 195, 270]]
Random;16236630.0;40;[[24, 311, 114, 55]]
Random;16237305.0;40;[[23, 266, 113, 10]]
Random;16237755.0;40;[[161, 209, 353, 89]]
Random;16238280.0;40;[[127, 264, 223, 24]]
Random;16238670.0;40;[[156, 306, 241, 114], [93, 236, 135, 76]]
Random;16238670.0;40;[[204, 241, 276, 180], [142, 194, 198, 82], [138, 316, 285, 252], [45, 118, 98, 62]]
Random;16239000.0;40;[[70, 142, 358, 62]]
Random;16239180.0;40;[[207, 319, 327, 221], [88, 232, 168, 91]]
Random;16239660.0;40;[[193, 215, 321, 35]]
Random;16239975.0;40;[[89, 297, 217, 117]]
Random;16240035.0;40;[[155, 291, 299, 131]]
Random;16240065.0;40;[[192, 253, 312, 61]]
Random;16240230.0;40;[[135, 304, 283, 240], [114, 71, 287, 18], [154, 227, 207, 144]]
Random;16240605.0;40;[[226, 228, 306, 108], [52, 313, 172, 201]]
Random;16241265.0;40;[[250, 171, 330, 109], [10, 190, 156, 144], [61, 114, 76, 88], [18, 301, 136, 208]]
Random;16241385.0;40;[[34, 278, 75, 136], [279, 272, 325, 115], [90, 292, 202, 226], [123, 218, 154, 134]]
Random;16242105.0;40;[[13, 272, 193, 144]]
Random;16242330.0;40;[[31, 209, 79, 49], [93, 82, 129, 12], [266, 201, 352, 165], [144, 172, 231, 60]]
Random;16242540.0;40;[[82, 310, 188, 164], [34, 112, 156, 50]]
Random;16242825.0;40;[[170, 220, 350, 92]]
Random;16242915.0;40;[[140, 115, 236, 18], [57, 287, 133, 155], [218, 219, 306, 177]]
Random;16243635.0;40;[[29, 299, 317, 219]]
Random;16243980.0;40;[[19, 149, 43, 73], [28, 292, 300, 214]]
Random;16245075.0;40;[[174, 132, 225, 53], [102, 226, 122, 164], [100, 314, 343, 242], [256, 149, 281, 138]]
Random;16245105.0;40;[[256, 142, 338, 58], [196, 215, 241, 106], [3, 222, 152, 153], [151, 103, 174, 61]]
Random;16245120.0;40;[[37, 287, 325, 207]]
Random;16245450.0;40;[[109, 241, 253, 126], [68, 312, 212, 267]]
Random;16245480.0;40;[[151, 180, 343, 60]]
Random;16246035.0;40;[[12, 244, 104, 113], [139, 320, 303, 253]]
Random;16246155.0;40;[[136, 269, 280, 109]]
