algoritme;60 BMS;housecount;;algoritme;60 MBS;housecount;;algoritme;60 SMB;housecount
Random;28858860;60;;Random;30940770;60;;Random;27766380;60
Random;28749360;60;;Random;29424270;60;;Random;28820250;60
Random;28223130;60;;Random;27863100;60;;Random;26263500;60
Random;28672890;60;;Random;27963480;60;;Random;26786430;60
Random;29699550;60;;Random;30166620;60;;Random;28429650;60
Random;28559280;60;;Random;30516960;60;;Random;29750970;60
Random;28677480;60;;Random;27037890;60;;Random;28135500;60
Random;27928980;60;;Random;26704890;60;;Random;26511390;60
Random;28734990;60;;Random;27399030;60;;Random;27461340;60
Random;28490820;60;;Random;29042730;60;;Random;26466540;60
Random;28101030;60;;Random;30952320;60;;Random;29142900;60
Random;27909660;60;;Random;29370390;60;;Random;27373230;60
Random;26570310;60;;Random;28879650;60;;Random;30745950;60
Random;32534910;60;;Random;27145410;60;;Random;28514040;60
Random;27578700;60;;Random;31875540;60;;Random;27156750;60
Random;26674620;60;;Random;28513050;60;;Random;28292250;60
Random;27450840;60;;Random;28763670;60;;Random;28224840;60
Random;25823070;60;;Random;27875250;60;;Random;28697610;60
Random;27575850;60;;Random;27133710;60;;Random;27634500;60
Random;29162010;60;;Random;27761280;60;;Random;29792040;60
Random;28246860;60;;Random;28346370;60;;Random;28570490;60
Random;28336710;60;;Random;28707630;60;;Random;28336350;60
Random;28242540;60;;Random;28402500;60;;Random;27598920;60
Random;28448820;60;;Random;27936000;60;;Random;28570350;60
Random;29640870;60;;Random;26420190;60;;Random;26673690;60
Random;28004100;60;;Random;27636330;60;;Random;28267530;60
Random;30083970;60;;Random;29715090;60;;Random;27835590;60
Random;28397370;60;;Random;28001310;60;;Random;26961900;60
Random;29255130;60;;Random;26861370;60;;Random;27216510;60
Random;28171470;60;;Random;26592270;60;;Random;30889590;60
Random;29891370;60;;Random;29963010;60;;Random;29467230;60
Random;27706020;60;;Random;27546180;60;;Random;28036020;60
Random;32058270;60;;Random;28352910;60;;Random;26104290;60
Random;28135110;60;;Random;28310400;60;;Random;32879060;60
Random;30068460;60;;Random;29940240;60;;Random;27851520;60
Random;30101160;60;;Random;28008000;60;;Random;30069120;60
Random;28415850;60;;Random;27287670;60;;Random;28889100;60
Random;34885680;60;;Random;28131420;60;;Random;27412290;60
Random;30389850;60;;Random;28228170;60;;Random;28494060;60
Random;30929820;60;;Random;28000800;60;;Random;29259570;60
Random;30794670;60;;Random;27830250;60;;Random;30625500;60
Random;27550380;60;;Random;27944730;60;;Random;27213450;60
Random;27099180;60;;Random;28044870;60;;Random;28602660;60
Random;29676510;60;;Random;29482710;60;;Random;28594920;60
Random;28756740;60;;Random;27492060;60;;Random;28580610;60
Random;32310630;60;;Random;29419560;60;;Random;28482390;60
Random;28977330;60;;Random;29580870;60;;Random;30103890;60
Random;27969360;60;;Random;27887460;60;;Random;26535030;60
Random;28220340;60;;Random;29541420;60;;Random;27649560;60
